small cell lung carcinoma	hsa-mir-378g
cholangiocarcinoma	hsa-mir-421
pain	hsa-mir-592
endometrial neoplasms	hsa-mir-1245b
hepatitis b	hsa-mir-491
crohn disease	hsa-mir-758
leprosy	hsa-mir-526b
carotid artery diseases	hsa-mir-487a
tuberculosis, pulmonary	hsa-mir-548c
melanoma	hsa-mir-208b
tourette syndrome	hsa-mir-378i
amyotrophic lateral sclerosis	hsa-let-7i
gastric neoplasms	hsa-mir-199b
barrett esophagus	hsa-mir-181b
adenoma	hsa-mir-521
hamartoma syndrome, multiple	hsa-mir-4257
cataract	hsa-mir-200b
bladder neoplasms	hsa-mir-188
brain injuries	hsa-mir-1231
diabetic retinopathy	hsa-mir-451a
burns	hsa-mir-30b
hamartoma syndrome, multiple	hsa-mir-142
esophagus	hsa-mir-483
myeloproliferative disorders	hsa-mir-589
carcinoma, small cell	hsa-mir-126
diabetes mellitus, type 1	hsa-mir-9
pheochromocytoma	hsa-mir-320a
glomerulonephritis, iga	hsa-mir-340
liver failure	hsa-mir-629
leukemia, myeloid, acute	hsa-mir-410
colitis	hsa-mir-455
glomerulonephritis	hsa-mir-376a
mastocytosis, systemic	hsa-mir-152
uterine cervical neoplasms	hsa-mir-1305
urinary bladder neoplasms	hsa-mir-33b
aortic valve stenosis	hsa-mir-1303
diabetes mellitus	hsa-mir-592
aids dementia complex	hsa-mir-1303
tongue neoplasms	hsa-mir-15a
carcinoma, non-small-cell lung	hsa-mir-487b
liver cirrhosis, biliary	hsa-mir-20a
nervous system diseases	hsa-mir-765
eosinophilic esophagitis	hsa-mir-490
leukemia, promyelocytic, acute	hsa-mir-191
cholesteatoma	hsa-mir-637
metabolic diseases	hsa-mir-181c
arthritis	hsa-mir-212
nervous system diseases	hsa-mir-569
sarcoma	hsa-mir-507
adenoma	hsa-mir-217
vascular diseases	hsa-mir-346
glomerulonephritis	hsa-mir-500a
cardiovascular diseases	hsa-mir-3130
dementia	hsa-mir-27a
dyslipidemias	hsa-mir-146b
carcinoma, squamous cell	hsa-mir-1273c
neoplasms, squamous cell	hsa-mir-135a
autoimmune diseases	hsa-mir-519d
hepatitis b	hsa-mir-302b
hcv	hsa-mir-365a
pre-eclampsia	hsa-mir-602
esophagus	hsa-mir-1915
long qt syndrome	hsa-mir-132
diabetes mellitus, type 1	hsa-mir-1179
fibroblasts	hsa-mir-583
muscular dystrophy, duchenne	hsa-mir-374b
hodgkin disease	hsa-mir-611
myeloproliferative disorders	hsa-mir-302b
lymphoma, t-cell	hsa-mir-509
endothelium, vascular	hsa-mir-30d
lupus vulgaris	hsa-mir-658
radiation injuries	hsa-mir-371
anxiety disorders	hsa-mir-1183
brain neoplasms	hsa-mir-885
myositis ossificans	hsa-mir-1299
alzheimer disease	hsa-mir-198
uterine cervical neoplasms	hsa-mir-128
renal insufficiency	hsa-mir-429
retinoblastoma	hsa-mir-372
azoospermia	hsa-mir-193b
marek disease	hsa-mir-376a
trophoblasts	hsa-mir-583
hearing loss	hsa-mir-423
medulloblastoma	hsa-mir-520d
leukemia, acute	hsa-mir-302c
astrocytoma	hsa-mir-143
leukemia, lymphoblastic, chronic	hsa-mir-200b
hyperglycemia	hsa-mir-337
reperfusion injury	hsa-mir-646
coronary artery disease	hsa-mir-1254
skin neoplasms	hsa-mir-26
hiv-1	hsa-mir-20b
reperfusion injury	hsa-mir-214
acute lung injury	hsa-mir-941
hand, foot and mouth disease	hsa-mir-107
nephrosclerosis	hsa-mir-103a
carcinoma	hsa-mir-567
prrsv infection	hsa-mir-15a
neutropenia	hsa-mir-378b
abortion, habitual	hsa-mir-133a
liver diseases	hsa-mir-194
eclampsia	hsa-let-7a
hepatitis	hsa-mir-22
scleroderma, systemic	hsa-mir-15a
pemphigus, benign familial	hsa-mir-302d
carcinoma, ductal, breast	hsa-mir-1297
cardiomyopathy, hypertrophic	hsa-mir-149
alzheimer disease	hsa-mir-510
diabetes complications	hsa-mir-215
francisella	hsa-mir-212
polycystic kidney diseases	hsa-mir-532
eclampsia	hsa-mir-519c
kidney failure, acute	hsa-mir-215
mastocytosis, systemic	hsa-mir-195
neoplasms	hsa-mir-2110
cocaine-related disorders	hsa-mir-520h
carcinoma, small cell	hsa-mir-422a
toxoplasma	hsa-mir-200c
lymphoma, t-cell	hsa-mir-512
hearing loss	hsa-mir-93
moyamoya disease	hsa-mir-374b
chlamydia infections	hsa-mir-99a
hpv infection	hsa-mir-663
ischemia	hsa-mir-523
stroke	hsa-mir-410
demyelinating diseases	hsa-mir-193a
eosinophilic esophagitis	hsa-mir-629
psoriasis	hsa-mir-208b
arthritis, rheumatoid	hsa-mir-17
synapses	hsa-mir-625
stomach neoplasms 	hsa-mir-10b
stomach neoplasms	hsa-mir-539
down syndrome	hsa-mir-185
ependymoma	hsa-mir-633
myopia	hsa-mir-374a
sarcoma, ewing's	hsa-mir-521
small cell lung carcinoma	hsa-mir-202
endometrial neoplasms	hsa-mir-520f
carotid artery diseases	hsa-mir-33b
hcv	hsa-mir-664
cataract	hsa-mir-378i
lipid metabolism disorders	hsa-mir-9
scleroderma, systemic	hsa-mir-203
hypertrophy, left ventricular	hsa-mir-1296
diabetic nephropathies	hsa-mir-1273a
carcinoma, endometrioid	hsa-mir-144
retinoblastoma	hsa-mir-190a
wounds and injuries	hsa-mir-1246
leprosy	hsa-mir-942
retinal degeneration	hsa-mir-26
hyperglycemia	hsa-mir-25
stroke	hsa-mir-628
frontotemporal lobar degeneration	hsa-mir-378d
cicatrix	hsa-mir-532
cerebral infarction	hsa-mir-486
toxoplasmosis	hsa-mir-18a
hand, foot and mouth disease	hsa-mir-26
ovarian neoplasms	hsa-mir-590
tongue neoplasms	hsa-mir-409
oligodendroglioma	hsa-mir-498
hpv infection	hsa-mir-375
periodontitis	hsa-mir-1909
hypertrophy	hsa-mir-193b
acquired immunodeficiency syndrome	hsa-mir-501
central nervous system diseases	hsa-mir-208b
anxiety disorders	hsa-mir-492
lymphoma, mantle-cell	hsa-mir-143
gerstmann-straussler-scheinker disease	hsa-mir-1297
cardiomyopathy, hypertrophic	hsa-mir-1303
muscular dystrophy, facioscapulohumeral	hsa-mir-222
ovary syndrome	hsa-mir-378d
anemia, sickle cell	hsa-mir-612
chondrodysplasia punctata	hsa-mir-1972
cardiomyopathy, dilated	hsa-mir-15a
leukemia, lymphocytic, chronic, b-cell	hsa-mir-636
myositis ossificans	hsa-mir-3163
graft vs host disease	hsa-mir-377
leukemia, b-cell	hsa-mir-135b
dyslipidemias	hsa-mir-497
leprosy	hsa-mir-378g
distal myopathies	hsa-mir-544b
hepatitis c, chronic	hsa-mir-298
hypertension	hsa-mir-519b
cardiomyopathy, dilated	hsa-mir-346
hiv-1	hsa-mir-329
lung diseases	hsa-mir-544a
myocardial reperfusion injury	hsa-mir-650
leukemia, lymphoblastic, acute	hsa-mir-151a
pregnancy, ectopic	hsa-mir-346
encephalomyelitis, autoimmune, experimental	hsa-mir-922
stomach neoplasms 	hsa-mir-345
sarcoma, synovial	hsa-mir-425
osteoarthritis	hsa-mir-103a
pulmonary embolism	hsa-mir-3130
oligodendroglioma	hsa-mir-1233
cataract	hsa-mir-3940
hand, foot and mouth disease	hsa-mir-599
synapses	hsa-mir-217
anoxia	hsa-mir-575
eclampsia	hsa-mir-516b
liver cirrhosis, biliary	hsa-mir-596
scleroderma, localized	hsa-mir-507
hypertrophy	hsa-mir-411
anoxia	hsa-mir-152
precursor cell lymphoblastic leukemia-lymphoma	hsa-mir-600
colorectal neoplasms	hsa-mir-486
rhinitis, allergic, perennial	hsa-mir-550a
alopecia	hsa-mir-96
fatty liver	hsa-mir-499b
burkitt lymphoma	hsa-mir-517c
autistic disorder	hsa-mir-137
long qt syndrome	hsa-mir-664
stomach neoplasms 	hsa-mir-339
gastritis, atrophic	hsa-mir-648
gastric neoplasms	hsa-mir-574
pancreatic neoplasms	hsa-mir-449b
carcinoma	hsa-mir-622
spinal cord injuries	hsa-mir-654
albuminuria	hsa-mir-504
retinal neovascularization	hsa-mir-374a
endometrial neoplasms	hsa-mir-365a
stomach neoplasms 	hsa-mir-518e
sarcoma, ewing	hsa-mir-198
lupus nephritis	hsa-let-7d
cicatrix	hsa-mir-361
tongue neoplasms	hsa-mir-125a
hbv infection	hsa-mir-658
leukoplakia, oral	hsa-mir-138
irritable bowel syndrome	hsa-mir-519e
brain injury	hsa-mir-596
toxoplasma	hsa-mir-18a
toxoplasmosis	hsa-mir-302c
prostatic neoplasms	hsa-mir-30b
albuminuria	hsa-mir-516a
neuroma, acoustic	hsa-mir-34a
pancreatic neoplasms	hsa-mir-611
esophageal neoplasms	hsa-mir-1280
diabetes mellitus, type 2	hsa-mir-100
fanconi anemia	hsa-mir-449a
myocardial infarction	hsa-mir-483
synapses	hsa-mir-518c
musculoskeletal abnormalities	hsa-mir-371
schizophrenia	hsa-mir-520e
muscular dystrophy, facioscapulohumeral	hsa-mir-545
endometrial neoplasms	hsa-mir-486
carcinoma, hepatocellular	hsa-mir-1181
cholesteatoma	hsa-mir-1202
siv infection	hsa-mir-1234
retinal neovascularization	hsa-mir-627
carcinoma, ductal, breast	hsa-mir-451b
liver cirrhosis, biliary	hsa-mir-627
asthma	hsa-mir-137
sepsis	hsa-mir-608
lymphoma, large b-cell, diffuse	hsa-mir-200c
nasal polyps	hsa-mir-15b
choriocarcinoma	hsa-mir-378b
psoriasis	hsa-mir-122
rectal neoplasms	hsa-mir-519d
stomach diseases	hsa-let-7g
leukemia, lymphoblastic, chronic	hsa-mir-302b
arrhythmias, cardiac	hsa-mir-26
muscular dystrophy, duchenne	hsa-mir-371a
cystic fibrosis	hsa-mir-527
colitis, ulcerative	hsa-mir-342
nervous system diseases	hsa-mir-18a
cardiomyopathies	hsa-mir-646
hyperlipidemias	hsa-mir-302e
cardiomyopathies	hsa-mir-20a
arthritis, rheumatoid	hsa-mir-596
diabetes mellitus, type 1	hsa-mir-767
uterine cervical neoplasms	hsa-mir-203
ovarian neoplasms	hsa-mir-3186
cardiomegaly	hsa-mir-513b
sarcoma, synovial	hsa-mir-150
burns	hsa-mir-492
inflammatory bowel diseases	hsa-mir-519c
azoospermia	hsa-mir-297
hearing loss	hsa-mir-26a
pre-eclampsia	hsa-mir-26b
asthma	hsa-mir-320d
asthma	hsa-mir-617
multiple endocrine neoplasia type 1	hsa-mir-208a
myocarditis	hsa-mir-506
creutzfeldt-jakob syndrome	hsa-mir-188
periodontitis	hsa-mir-424
myocardial reperfusion injury	hsa-mir-569
graves disease	hsa-mir-520g
cystic fibrosis	hsa-mir-147b
hepatitis c	hsa-mir-1271
arthritis, rheumatoid	hsa-mir-224
heart defects, congenital	hsa-mir-194
creutzfeldt-jakob syndrome	hsa-mir-384
bladder neoplasms	hsa-mir-211
ependymoma	hsa-mir-502
carcinoma	hsa-mir-3148
hemangioma	hsa-mir-630
carotid artery diseases	hsa-mir-574
colitis	hsa-mir-302a
musculoskeletal abnormalities	hsa-mir-302d
leukemia, b-cell	hsa-mir-367
hepatoblastoma	hsa-mir-302b
anoxia	hsa-mir-489
leukemia, b-cell	hsa-mir-378e
mesothelioma	hsa-mir-718
neoplasms, glandular and epithelial	hsa-let-7b
multiple myeloma	hsa-mir-708
hev	hsa-let-7e
pregnancy, ectopic	hsa-mir-642b
cardiomyopathy, dilated	hsa-mir-519e
intellectual disability	hsa-mir-1258
leukemia, myeloid	hsa-mir-611
schistosomiasis	hsa-mir-124
gout	hsa-mir-373
hodgkin disease	hsa-mir-622
chondrodysplasia punctata	hsa-mir-765
odontogenic tumors	hsa-mir-216a
erythropoiesis	hsa-mir-328
prostate neoplasms	hsa-mir-519b
hpv infection	hsa-mir-216a
thyroid neoplasms	hsa-mir-637
aids dementia complex	hsa-mir-27a
irritable bowel syndrome	hsa-mir-206
psychotic disorders	hsa-mir-135b
liposarcoma	hsa-mir-525
frontotemporal lobar degeneration	hsa-mir-206
rectal neoplasms	hsa-mir-196a
diabetes mellitus, type 1	hsa-mir-492
liver failure	hsa-mir-369
fibrosis	hsa-mir-646
colitis, ulcerative	hsa-mir-130b
cerebral ischemia	hsa-mir-566
pain	hsa-mir-1301
patau syndrome	hsa-mir-3940
urinary bladder neoplasms	hsa-mir-520e
hev	hsa-mir-1246
muscular dystrophy, duchenne	hsa-mir-105
sarcoma, ewing	hsa-mir-216b
lung diseases	hsa-mir-1275
fanconi anemia	hsa-mir-32
helplessness, learned	hsa-mir-300
kidney failure, acute	hsa-mir-550a
cicatrix	hsa-let-7b
pituitary adenomas	hsa-mir-617
neurilemmoma	hsa-mir-502
leukoplakia, oral	hsa-mir-302a
choriocarcinoma	hsa-mir-151a
alopecia	hsa-mir-151b
hypertension	hsa-mir-103b
brain injuries	hsa-mir-497
precursor t-cell lymphoblastic leukemia-lymphoma	hsa-mir-206
burns	hsa-mir-520a
graft vs host disease	hsa-mir-517a
encephalomyelitis, autoimmune, experimental	hsa-mir-1245a
adenoviridae infections	hsa-mir-346
endothelium, vascular	hsa-mir-569
dementia	hsa-mir-143
oligodendroglioma	hsa-mir-629
brain ischemia	hsa-mir-1301
stroke	hsa-mir-1258
head and neck neoplasms	hsa-mir-135b
nasal polyps	hsa-let-7g
francisella	hsa-mir-526b
diabetes mellitus, type 2	hsa-mir-484
hcv	hsa-mir-655
aortic valve stenosis	hsa-mir-1231
polycystic kidney diseases	hsa-mir-361
myositis ossificans	hsa-mir-648
leukemia, myeloid, acute	hsa-mir-640
hand, foot and mouth disease	hsa-mir-483
erythropoiesis	hsa-mir-149
demyelinating diseases	hsa-mir-657
salivary gland neoplasms	hsa-mir-1469
odontogenic tumors	hsa-mir-323a
multiple myeloma	hsa-mir-217
mycosis fungoides	hsa-mir-32
pulmonary disease, chronic obstructive	hsa-mir-27b
hodgkin disease	hsa-mir-520h
neoplasms	hsa-mir-545
urinary bladder neoplasms	hsa-mir-96
distal myopathies	hsa-mir-210
osteolysis	hsa-mir-718
endometrial neoplasms	hsa-mir-663
tourette syndrome	hsa-mir-450b
hemangiosarcoma	hsa-mir-1301
chordoma	hsa-mir-383
irritable bowel syndrome	hsa-mir-18b
stomach neoplasms	hsa-mir-514a
neoplasms	hsa-mir-1301
osteosarcoma 	hsa-mir-20b
osteosarcoma	hsa-let-7e
lymphoma, extranodal nk-t-cell	hsa-mir-582
cerebral ischemia	hsa-mir-1
pituitary adenomas	hsa-mir-592
kidney failure, acute	hsa-mir-511
cardiomyopathy, dilated	hsa-mir-302f
colitis, ulcerative	hsa-mir-20a
leukemia, lymphoblastic, acute	hsa-mir-630
precursor cell lymphoblastic leukemia-lymphoma	hsa-mir-7
hypertension	hsa-mir-185
pemphigus, benign familial	hsa-mir-30a
hepatitis b, chronic	hsa-let-7e
carcinoma, oral	hsa-mir-185
hearing loss	hsa-mir-519b
rhinitis, allergic, perennial	hsa-mir-148b
abortion, habitual	hsa-mir-376a
hepatoblastoma	hsa-mir-432
myocarditis	hsa-mir-574
moyamoya disease	hsa-mir-625
adenocarcinoma	hsa-mir-624
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-526a
pre-eclampsia	hsa-mir-29b
stomach neoplasms 	hsa-mir-205
azoospermia	hsa-mir-138
mouth neoplasms	hsa-mir-92
marek disease	hsa-mir-519b
leukemia, promyelocytic, acute	hsa-mir-1469
carcinoma, neuroendocrine	hsa-mir-1180
thyroid neoplasms	hsa-mir-596
cryptosporidium	hsa-mir-370
neurodegenerative diseases	hsa-mir-138
pulmonary disease, chronic obstructive	hsa-mir-519a
schistosomiasis	hsa-mir-137
kidney diseases	hsa-mir-517c
stomach diseases	hsa-mir-107
gastritis, atrophic	hsa-mir-542
prostatic neoplasms	hsa-mir-129
toxoplasmosis	hsa-mir-150
choriocarcinoma	hsa-mir-3148
liver diseases	hsa-mir-611
multiple sclerosis	hsa-mir-1233
uterine cervical neoplasms	hsa-mir-302a
toxoplasmosis	hsa-mir-302d
brain injury	hsa-mir-532
liver cirrhosis	hsa-mir-2355
renal insufficiency	hsa-mir-517a
carcinoma, squamous cell	hsa-mir-223
carcinoma, neuroendocrine	hsa-mir-619
nasopharyngeal neoplasms	hsa-mir-454
hepatitis b	hsa-mir-216a
multiple endocrine neoplasia type 1	hsa-mir-198
gastric neoplasms	hsa-mir-1245a
carcinoma, non-small-cell lung	hsa-mir-600
panic disorder	hsa-mir-188
burns	hsa-mir-542
diabetes mellitus	hsa-mir-520b
leukemia, acute	hsa-mir-1231
synapses	hsa-mir-617
stomach diseases	hsa-mir-526a
cerebellar neoplasms	hsa-mir-451a
urinary bladder neoplasms	hsa-mir-621
graft vs host disease	hsa-mir-571
colitis, ulcerative	hsa-mir-658
aging	hsa-mir-765
pulmonary fibrosis	hsa-mir-922
colon neoplasms	hsa-mir-382
hepatoblastoma	hsa-mir-302c
sezary syndrome	hsa-mir-30a
eosinophilic esophagitis	hsa-mir-133b
amyotrophic lateral sclerosis	hsa-mir-646
leukemia, lymphoblastic, acute	hsa-mir-134
lung diseases, interstitial	hsa-mir-616
stroke	hsa-mir-216b
hypertrophy, left ventricular	hsa-mir-1909
francisella	hsa-mir-372
pregnancy, ectopic	hsa-mir-1249
liver diseases, alcoholic	hsa-mir-1275
eosinophilic esophagitis	hsa-mir-214
glioblastoma 	hsa-mir-1266
focal epithelial hyperplasia	hsa-mir-520f
leukemia-lymphoma, adult t-cell	hsa-mir-1271
adrenal cortex neoplasms	hsa-mir-92
eczema	hsa-mir-513b
spinal cord injuries	hsa-mir-602
osteoporosis	hsa-mir-601
pain	hsa-mir-188
hiv	hsa-mir-107
aortic aneurysm, thoracic	hsa-mir-488
cardiovascular diseases	hsa-mir-629
neuroma, acoustic	hsa-mir-200a
odontogenic tumors	hsa-mir-744
behcet syndrome	hsa-mir-23b
nasopharyngeal neoplasms	hsa-mir-204
mesothelioma	hsa-mir-124
rna virus infections	hsa-mir-429
leukemia, myeloid, chronic-phase	hsa-mir-142
hcmv infection	hsa-mir-874
skin neoplasms	hsa-mir-146a
crohn disease	hsa-mir-641
eclampsia	hsa-mir-23a
vascular diseases	hsa-mir-1471
testicular neoplasms	hsa-mir-33a
demyelinating diseases	hsa-mir-107
neuroma, acoustic	hsa-mir-507
periodontitis	hsa-mir-1290
retinoblastoma	hsa-mir-18b
liver diseases	hsa-mir-635
coronary artery disease	hsa-mir-151a
pulmonary embolism	hsa-mir-675
prostate neoplasms	hsa-mir-590
myopia	hsa-mir-431
panic disorder	hsa-mir-212
liver diseases	hsa-mir-1245b
myelodysplastic syndromes	hsa-mir-515
cardiomyopathies	hsa-mir-329
hearing loss	hsa-mir-378c
graves disease	hsa-mir-493
eclampsia	hsa-mir-513c
hepatitis c	hsa-mir-483
hearing loss	hsa-mir-145
heart defects, congenital	hsa-mir-191
leukemia, biphenotypic, acute	hsa-mir-17
leukemia-lymphoma, adult t-cell	hsa-mir-1305
myopia	hsa-mir-612
demyelinating diseases	hsa-mir-204
irritable bowel syndrome	hsa-mir-590
child development disorders, pervasive	hsa-mir-1827
arrhythmias, cardiac	hsa-mir-188
leukemia, lymphoblastic, acute	hsa-mir-1266
lymphoma, t-cell	hsa-mir-147b
ovarian neoplasms	hsa-mir-371
leiomyosarcoma	hsa-mir-362
brain injuries	hsa-mir-493
lymphoma, primary effusion	hsa-mir-647
supranuclear palsy, progressive	hsa-mir-383
adenocarcinoma	hsa-mir-137
lung neoplasms	hsa-mir-483
psoriasis	hsa-mir-601
sarcoma, ewing	hsa-mir-1275
myasthenia gravis	hsa-mir-133a
psoriasis	hsa-mir-638
chondrodysplasia punctata	hsa-mir-132
medulloblastoma	hsa-mir-99b
atrial fibrillation	hsa-mir-449b
toxoplasma	hsa-mir-29c
oligodendroglioma	hsa-mir-516b
hiv infections	hsa-mir-222
lichen planus, oral	hsa-mir-648
stomach neoplasms	hsa-mir-632
myotonic dystrophy	hsa-mir-320d
biliary atresia	hsa-mir-1273c
aortic valve stenosis	hsa-mir-548b
scleroderma, localized	hsa-mir-1183
carcinoma	hsa-mir-769
leukoplakia, oral	hsa-mir-200a
hepatitis, chronic	hsa-mir-376a
dyspepsia	hsa-mir-300
albuminuria	hsa-mir-205
hepatoblastoma	hsa-mir-29c
eclampsia	hsa-mir-758
liver cirrhosis	hsa-mir-151a
atrophy	hsa-mir-662
frontotemporal lobar degeneration	hsa-mir-219
azoospermia	hsa-mir-1280
arrhythmias, cardiac	hsa-mir-1290
leukemia, myeloid, chronic-phase	hsa-mir-34c
liver cirrhosis, biliary	hsa-mir-510
demyelinating diseases	hsa-mir-598
lymphoma, t-cell	hsa-mir-1293
infertility, male	hsa-mir-10b
leprosy	hsa-mir-561
stroke	hsa-mir-544a
psoriasis	hsa-mir-658
erythropoiesis	hsa-mir-371
anemia, sickle cell	hsa-mir-1293
leukemia, lymphocytic, chronic, b-cell	hsa-mir-599
prrsv infection	hsa-mir-155
erythropoiesis	hsa-mir-494
anoxia	hsa-mir-150
myocardial infarction	hsa-mir-204
multiple endocrine neoplasia type 1	hsa-mir-378i
endothelium, vascular	hsa-mir-519e
granulosa cell tumor	hsa-mir-210
hamartoma syndrome, multiple	hsa-mir-30e
gerstmann-straussler-scheinker disease	hsa-mir-622
hematologic neoplasms	hsa-mir-616
nasopharyngeal neoplasms	hsa-mir-197
marek disease	hsa-mir-583
keratoconus	hsa-mir-134
sezary syndrome	hsa-mir-144
sarcoma, synovial	hsa-mir-1287
aortic aneurysm, thoracic	hsa-mir-124
bladder neoplasms	hsa-mir-202
nephrosclerosis	hsa-mir-4257
atherosclerosis	hsa-mir-572
lymphoma, non-hodgkin	hsa-mir-188
cardiovascular diseases	hsa-mir-155
psychotic disorders	hsa-mir-489
fanconi anemia	hsa-mir-3196
chondrodysplasia punctata	hsa-mir-1228
leukemia, myeloid, chronic-phase	hsa-mir-224
scleroderma, localized	hsa-mir-378e
hypertension	hsa-mir-378f
arthritis	hsa-mir-153
eclampsia	hsa-mir-545
lymphoma, primary effusion	hsa-mir-377
mouth neoplasms	hsa-mir-24
keratoconus	hsa-mir-511
leukoplakia, oral	hsa-mir-515
mastocytosis, systemic	hsa-mir-1296
waldenstrom macroglobulinemia	hsa-mir-326
nephrosclerosis	hsa-mir-16
ependymoma	hsa-mir-22
rna virus infections	hsa-mir-582
lichen planus, oral	hsa-mir-548c
diabetes mellitus, type 2	hsa-mir-184
adenoviridae infections	hsa-mir-1471
leukoplakia, oral	hsa-mir-629
osteoarthritis	hsa-mir-103b
aortic valve insufficiency	hsa-mir-183
myocardial ischemia	hsa-mir-27b
hepatitis c	hsa-mir-451a
periodontitis	hsa-mir-1471
sarcoma	hsa-mir-383
tuberculosis, pulmonary	hsa-mir-3148
cervical neoplasms	hsa-mir-615
cervical neoplasms	hsa-mir-527
nevus, pigmented	hsa-mir-598
vitiligo	hsa-let-7c
cardiovascular diseases	hsa-mir-129
carcinoma, ehrlich tumor	hsa-mir-1299
cataract	hsa-mir-933
anus neoplasms	hsa-mir-571
neoplasms, germ cell and embryonal	hsa-mir-873
lymphoma, mantle-cell	hsa-mir-221
papilary thyroid carcinoma	hsa-mir-635
cardiomyopathy, dilated	hsa-mir-2355
gout	hsa-mir-449a
graves disease	hsa-mir-3940
asthma	hsa-let-7d
fatty liver, non-alcoholic	hsa-mir-423
muscular dystrophies	hsa-mir-365a
diabetic nephropathies	hsa-mir-572
irritable bowel syndrome	hsa-mir-381
dyspepsia	hsa-mir-933
adenoma	hsa-mir-1297
colitis, ulcerative	hsa-mir-144
aortic aneurysm, abdominal	hsa-mir-550a
diabetes mellitus, type 2	hsa-mir-222
kidney diseases	hsa-mir-621
lupus vulgaris	hsa-mir-23a
behcet syndrome	hsa-mir-1322
francisella	hsa-mir-146b
lymphoma, mantle-cell	hsa-mir-196a
myeloproliferative disorders	hsa-mir-668
nevus, pigmented	hsa-mir-504
azoospermia	hsa-mir-1207
cervical intraepithelial neoplasia	hsa-mir-34a
huntington disease	hsa-mir-515
chondrodysplasia punctata	hsa-mir-148b
gerstmann-straussler-scheinker disease	hsa-mir-617
metabolic diseases	hsa-mir-130b
giant cell tumors	hsa-mir-648
toxoplasmosis	hsa-mir-1266
colonic neoplasms	hsa-mir-487b
pregnancy, ectopic	hsa-mir-148b
demyelinating diseases	hsa-mir-637
carcinoma, embryonal	hsa-mir-517c
hematologic neoplasms	hsa-mir-1275
long qt syndrome	hsa-mir-216a
toxoplasma	hsa-mir-513c
lymphoma, mantle-cell	hsa-mir-548a
intellectual disability	hsa-mir-374b
leukemia, myeloid, acute	hsa-mir-136
kidney failure, acute	hsa-mir-1183
leukoplakia, oral	hsa-mir-760
adrenal cortex neoplasms	hsa-mir-125a
pre-eclampsia	hsa-mir-658
leukemia, promyelocytic, acute	hsa-mir-337
liposarcoma	hsa-mir-34c
neuroblastoma	hsa-mir-214
pregnancy, ectopic	hsa-mir-935
helplessness, learned	hsa-mir-708
anus neoplasms	hsa-mir-196b
neuroma, acoustic	hsa-mir-362
autistic disorder	hsa-mir-501
hemangiosarcoma	hsa-mir-520e
gastrointestinal neoplasms	hsa-mir-139
erythropoiesis	hsa-mir-548b
leukemia, lymphocytic, chronic, b-cell	hsa-mir-301b
myopia	hsa-mir-150
carcinoma, embryonal	hsa-mir-3196
gerstmann-straussler-scheinker disease	hsa-mir-4306
cholesteatoma	hsa-let-7g
colon neoplasms	hsa-mir-383
neurodegenerative diseases	hsa-mir-612
periodontitis	hsa-mir-216b
myocytes, cardiac	hsa-mir-155
diabetes mellitus, type 1	hsa-mir-612
aortic valve stenosis	hsa-mir-505
spinal cord injuries	hsa-mir-487a
pulmonary embolism	hsa-mir-27b
spinal cord injuries	hsa-mir-663a
carcinoma, ductal, breast	hsa-mir-941
atrophy	hsa-mir-885
lichen planus, oral	hsa-mir-512
psychotic disorders	hsa-mir-196b
lymphoma, mantle-cell	hsa-mir-885
hbv infection	hsa-mir-1301
fatty liver	hsa-mir-617
autistic disorder	hsa-mir-583
cryptosporidium	hsa-mir-328
mycosis fungoides	hsa-mir-105
lupus vulgaris	hsa-mir-29c
central nervous system diseases	hsa-mir-151a
hbv infection	hsa-mir-484
intellectual disability	hsa-mir-337
siv infection	hsa-mir-151
cervical intraepithelial neoplasia	hsa-mir-192
prostate neoplasms	hsa-mir-567
fatty liver	hsa-mir-654
vascular calcification	hsa-mir-637
fibrosis	hsa-mir-145
eosinophilic esophagitis	hsa-mir-3163
eye abnormalities	hsa-mir-487b
pregnancy, ectopic	hsa-mir-1972
leukemia, lymphoblastic, acute	hsa-mir-1471
anoxia	hsa-mir-378c
liver failure	hsa-mir-9
hepatitis c	hsa-mir-199b
lymphoma, primary effusion	hsa-mir-298
stomach neoplasms	hsa-mir-664
tourette syndrome	hsa-mir-29a
leukemia-lymphoma, adult t-cell	hsa-mir-300
parkinson disease	hsa-mir-451a
adrenal cortex neoplasms	hsa-let-7c
coronary artery disease	hsa-mir-328
ovarian neoplasms	hsa-mir-101
lymphoma, extranodal nk-t-cell	hsa-mir-4257
dermatitis, atopic	hsa-let-7g
hemangiosarcoma	hsa-mir-1302
carcinoma, endometrioid	hsa-mir-1280
osteolysis	hsa-mir-190b
uterine cervical neoplasms	hsa-mir-325
uterine cervical neoplasms	hsa-mir-518b
cervical intraepithelial neoplasia	hsa-mir-548d
synapses	hsa-mir-374b
periodontal diseases	hsa-mir-525
toxoplasma	hsa-mir-1245b
ovary syndrome	hsa-mir-455
carcinoma, neuroendocrine	hsa-mir-10b
hepatitis	hsa-mir-223
granulosa cell tumor	hsa-mir-147a
adrenocortical carcinoma	hsa-mir-1246
lymphoma, large-cell, anaplastic	hsa-mir-874
neoplasms, glandular and epithelial	hsa-mir-640
glioblastoma 	hsa-mir-1180
schizophrenia	hsa-mir-155
eczema	hsa-mir-566
mastocytosis, systemic	hsa-mir-148b
colitis, ulcerative	hsa-mir-425
